matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
2489,5,57,4,3,DUO_SUPPORT,BOT,0,5,2,5,57070,53657,3412,0,12028,3730,8282,16,54,0,0,0
2695,1,57,14,4,DUO_SUPPORT,BOT,1,4,2,8,28732,25031,3445,256,10977,4965,5717,294,12,0,0,0
2894,8,57,3,4,DUO_SUPPORT,BOT,1,3,1,13,24248,15433,5541,3273,8224,1998,6226,0,9,0,0,0
2965,5,57,3,4,DUO_SUPPORT,BOT,1,5,8,15,124646,114432,6167,4046,31790,7912,23184,694,70,3,0,3
2975,6,57,14,4,DUO_SUPPORT,BOT,1,3,2,16,31003,25039,5482,481,13567,5743,7711,112,23,0,0,0
3240,2,57,14,4,DUO_SUPPORT,BOT,1,9,9,18,74246,62126,7536,4582,42067,15369,24423,2274,56,6,6,0
3246,2,57,3,4,DUO_SUPPORT,BOT,1,1,2,15,39305,23979,9377,5949,18703,4046,14135,522,38,3,0,3
3270,2,57,4,3,DUO_SUPPORT,BOT,0,4,9,7,56223,49611,4976,1636,25403,10429,11869,3105,32,0,0,0
4196,7,57,4,3,DUO_SUPPORT,BOT,0,4,7,16,86505,82970,3486,48,29340,9401,19132,806,55,1,1,0
4396,10,57,4,14,DUO_SUPPORT,BOT,1,8,0,12,78256,69839,7079,1338,17246,7482,9355,408,54,7,0,7
4401,2,57,4,3,DUO_SUPPORT,BOT,1,4,4,7,40665,35281,3706,1678,16318,5147,10602,568,9,6,0,6
4406,9,57,4,14,DUO_SUPPORT,BOT,1,1,3,3,32109,28891,2548,670,12736,2667,10068,0,20,0,0,0
4410,1,57,14,4,DUO_SUPPORT,BOT,1,2,7,18,75502,45829,14474,15198,42490,20304,21396,790,77,3,0,3
4423,1,57,4,3,DUO_SUPPORT,BOT,0,0,6,5,29321,26969,2145,205,18659,8250,9761,648,15,0,0,0
4430,5,57,4,14,DUO_SUPPORT,BOT,1,4,6,14,57545,48210,8398,936,21805,5341,16243,220,46,1,1,0
4431,10,57,4,14,DUO_SUPPORT,BOT,0,3,8,3,24708,21077,3240,390,15441,4780,10280,381,12,0,0,0
4432,9,57,4,14,DUO_SUPPORT,BOT,0,1,6,6,42886,37285,4809,791,17430,6166,10945,318,29,0,0,0
4444,9,57,4,3,DUO_SUPPORT,BOT,0,1,6,4,43909,38725,5183,0,21412,7586,11470,2354,28,0,0,0
4625,9,57,4,3,DUO_SUPPORT,BOT,0,1,4,2,18123,10237,3736,4149,12829,6423,6273,132,28,0,0,0
7537,2,57,4,14,DUO_SUPPORT,BOT,1,3,5,16,28977,15653,7582,5741,20192,6234,13941,16,32,0,0,0
7539,6,57,4,3,DUO_SUPPORT,BOT,0,2,10,11,62673,55052,5905,1715,31463,10018,19369,2075,35,3,3,0
7544,2,57,3,4,DUO_SUPPORT,BOT,0,1,6,18,59743,53095,6560,86,27397,7594,18277,1526,39,1,0,1
7548,8,57,4,14,DUO_SUPPORT,BOT,1,6,8,9,80608,74229,5460,919,26595,11450,14391,753,40,2,2,0
7549,4,57,3,4,DUO_SUPPORT,BOT,0,2,8,10,47988,43743,3199,1045,25108,10129,13438,1540,16,0,0,0
7564,1,57,4,3,DUO_SUPPORT,BOT,1,1,4,14,45765,39524,6240,0,18200,5921,12065,214,32,0,0,0
7609,5,57,4,14,DUO_SUPPORT,BOT,1,5,5,19,90606,70896,14915,4794,32866,10662,19534,2668,58,3,2,1
7620,7,57,4,3,DUO_SUPPORT,BOT,1,1,5,11,52960,35833,9563,7563,30060,8169,20073,1818,54,0,0,0
7724,1,57,4,14,DUO_SUPPORT,BOT,0,1,6,9,40438,33600,5685,1153,19758,4682,14402,673,38,1,1,0
7798,2,57,14,4,DUO_SUPPORT,BOT,1,4,8,18,94602,75306,13711,5584,37910,8159,29505,246,71,3,3,0
7805,10,57,3,4,DUO_SUPPORT,BOT,1,4,2,6,61187,51427,9053,706,18075,8425,9433,216,36,5,3,2
7816,8,57,3,4,DUO_SUPPORT,BOT,0,4,10,8,53904,38988,8357,6558,31738,8022,22704,1012,61,0,0,0
7858,9,57,4,3,DUO_SUPPORT,BOT,1,3,2,10,29133,20857,6476,1799,8414,4442,3559,412,33,0,0,0
7884,8,57,4,3,DUO_SUPPORT,BOT,0,4,7,16,169305,135188,24623,9493,43038,10137,30715,2185,161,20,4,16
7984,7,57,4,14,DUO_SUPPORT,BOT,1,5,4,11,45330,39023,5580,726,14025,3980,9973,72,15,6,6,0
8019,5,57,4,14,DUO_SUPPORT,BOT,0,5,9,30,109887,94400,12299,3187,83444,22892,55614,4938,47,3,0,3
8091,5,57,4,3,DUO_SUPPORT,BOT,0,0,7,10,33759,30253,3505,0,32913,8449,21246,3217,16,0,0,0
8105,3,57,4,3,DUO_SUPPORT,BOT,0,1,7,4,40942,29594,5909,5438,19238,6609,11330,1298,65,0,0,0
8106,7,57,4,3,DUO_SUPPORT,BOT,1,2,3,19,48008,35025,7900,5082,20981,6099,12248,2633,46,1,0,1
8122,4,57,4,3,DUO_SUPPORT,BOT,0,4,13,18,79971,68135,9843,1992,38210,13365,23555,1289,56,5,3,2
8141,7,57,4,14,DUO_SUPPORT,BOT,1,3,6,13,49714,44373,4594,746,18326,6280,11632,413,15,4,0,4
8239,2,57,14,4,DUO_SUPPORT,BOT,0,3,9,15,33543,25750,3085,4708,30556,8283,20147,2126,21,0,0,0
8264,9,57,3,4,DUO_SUPPORT,BOT,0,5,9,20,70260,48449,11322,10488,46213,15785,28278,2149,72,1,1,0
