matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
15594,6,412,4,3,DUO_SUPPORT,BOT,1,2,3,14,32771,21554,11055,160,17069,3453,13478,138,33,0,0,0
47522,7,111,4,3,DUO_SUPPORT,BOT,1,2,3,11,45943,26827,12354,6761,17689,7975,8909,804,57,0,0,0
28849,9,89,3,4,DUO_SUPPORT,BOT,1,1,3,15,31434,17211,8883,5339,14593,3504,9552,1535,36,0,0,0
11301,7,44,4,14,DUO_SUPPORT,BOT,0,2,7,3,21395,7761,6216,7417,21054,8292,11537,1224,39,0,0,0
18367,8,412,4,3,DUO_SUPPORT,BOT,0,0,6,7,11570,8219,3351,0,19811,5758,13072,980,15,0,0,0
61672,3,412,3,4,DUO_SUPPORT,BOT,0,1,5,5,13132,7426,4354,1352,14634,6188,7428,1017,11,0,0,0
75829,10,412,4,3,DUO_SUPPORT,BOT,1,1,3,10,16454,10381,5457,615,11764,4656,6902,205,21,2,0,2
76280,2,98,4,3,DUO_SUPPORT,BOT,1,8,3,24,62906,26756,26949,9200,22412,5162,14028,3221,50,5,0,5
98359,3,412,4,14,DUO_SUPPORT,BOT,1,1,2,23,20062,12440,6846,774,19844,6797,12435,611,30,0,0,0
31336,1,111,3,4,DUO_SUPPORT,BOT,0,2,5,14,57945,36839,13740,7365,28711,14405,13845,460,63,0,0,0
75948,7,412,14,4,DUO_SUPPORT,BOT,0,5,7,6,27355,16696,9753,906,24292,11322,10158,2811,32,0,0,0
88119,2,412,4,3,DUO_SUPPORT,BOT,1,3,2,15,18501,13256,4887,357,16013,7847,7749,416,35,0,0,0
36503,4,201,4,3,DUO_SUPPORT,BOT,0,1,3,7,26007,7759,8741,9506,18849,4622,13984,243,42,0,0,0
36093,5,412,4,3,DUO_SUPPORT,BOT,0,1,2,2,4298,2752,1545,0,6572,1454,4624,494,15,0,0,0
44195,9,412,14,4,DUO_SUPPORT,BOT,1,3,5,23,17311,9583,6569,1159,19514,8741,10694,78,21,0,0,0
63557,7,44,3,4,DUO_SUPPORT,BOT,0,0,7,21,45139,20905,15065,9168,32646,16353,13114,3178,68,0,0,0
10451,9,201,4,3,DUO_SUPPORT,BOT,1,1,6,14,18756,7249,7135,4371,17577,5791,11187,598,33,0,0,0
14881,10,412,3,4,DUO_SUPPORT,BOT,0,0,6,6,8134,5355,2779,0,18410,10118,6363,1928,14,0,0,0
